,Latin name,Polish name,Category,Status
48,Anas carolinensis,cyraneczka karolińska,A,Z
49,Coturnix coturnix,przepiórka,A,L
50,Perdix perdix,kuropatwa,A,L
51,Phasianus colchicus,bażant,C,L
52,Tetrastes bonasia,jarząbek,A,L
53,Lagopus lagopus,pardwa mszarna,B,(z)
54,Tetrao urogallus,głuszec,A,L
55,Lyrurus tetrix,cietrzew,A,L
56,Phoenicopterus roseus,flaming różowy,A,Z
57,Podilymbus podiceps,perkoz grubodzioby,A,z
58,Tachybaptus ruficollis,perkozek,A,L
59,Podiceps grisegena,perkoz rdzawoszyi,A,L
60,Podiceps cristatus,perkoz dwuczuby,A,L
61,Podiceps auritus,perkoz rogaty,A,(l) P
62,Podiceps nigricollis,zausznik,A,L
63,Columba livia,gołąb miejski,C,L
64,Columba oenas,siniak,A,L
65,Columba palumbus,grzywacz,A,L
66,Streptopelia turtur,turkawka,A,L
